,Regulon_ID,Regulator,Gene
0,0,ENSG00000005513,ENSG00000132434
1,0,ENSG00000005513,ENSG00000134532
2,0,ENSG00000005513,ENSG00000139910
3,0,ENSG00000005513,ENSG00000048540
4,0,ENSG00000005513,ENSG00000106278
5,0,ENSG00000005513,ENSG00000078018
6,0,ENSG00000005513,ENSG00000177694
7,0,ENSG00000005513,ENSG00000135298
8,0,ENSG00000005513,ENSG00000170558
9,0,ENSG00000005513,ENSG00000134121
10,0,ENSG00000005513,ENSG00000151835
11,0,ENSG00000005513,ENSG00000127124
12,0,ENSG00000005513,ENSG00000095015
13,0,ENSG00000005513,ENSG00000126785
14,0,ENSG00000005513,ENSG00000058866
15,0,ENSG00000005513,ENSG00000198369
16,0,ENSG00000005513,ENSG00000105894
17,0,ENSG00000005513,ENSG00000187546
18,0,ENSG00000005513,ENSG00000111058
19,0,ENSG00000005513,ENSG00000060982
20,0,ENSG00000005513,ENSG00000280663
21,0,ENSG00000005513,ENSG00000148516
22,0,ENSG00000005513,ENSG00000129657
23,0,ENSG00000005513,ENSG00000157224
24,0,ENSG00000005513,ENSG00000178662
25,0,ENSG00000005513,ENSG00000179241
26,0,ENSG00000005513,ENSG00000146592
27,0,ENSG00000005513,ENSG00000136158
28,0,ENSG00000005513,ENSG00000165185
29,0,ENSG00000005513,ENSG00000197121
30,0,ENSG00000005513,ENSG00000101746
31,0,ENSG00000005513,ENSG00000146938
32,0,ENSG00000005513,ENSG00000150471
33,0,ENSG00000005513,ENSG00000049192
34,0,ENSG00000005513,ENSG00000106511
35,0,ENSG00000005513,ENSG00000132122
36,0,ENSG00000005513,ENSG00000155511
37,0,ENSG00000005513,ENSG00000169760
38,0,ENSG00000005513,ENSG00000174306
39,0,ENSG00000005513,ENSG00000058091
40,0,ENSG00000005513,ENSG00000168772
41,0,ENSG00000005513,ENSG00000102271
42,0,ENSG00000005513,ENSG00000163638
43,0,ENSG00000005513,ENSG00000182132
44,0,ENSG00000005513,ENSG00000144278
45,0,ENSG00000005513,ENSG00000070950
46,0,ENSG00000005513,ENSG00000006468
47,0,ENSG00000005513,ENSG00000127863
48,0,ENSG00000005513,ENSG00000118971
49,0,ENSG00000005513,ENSG00000166068
50,0,ENSG00000005513,ENSG00000105810
51,0,ENSG00000005513,ENSG00000134215
52,0,ENSG00000005513,ENSG00000156103
53,0,ENSG00000005513,ENSG00000118922
54,1,ENSG00000005513,ENSG00000163453
55,1,ENSG00000005513,ENSG00000197442
56,1,ENSG00000005513,ENSG00000041982
57,1,ENSG00000005513,ENSG00000067798
58,1,ENSG00000005513,ENSG00000145730
59,1,ENSG00000005513,ENSG00000162631
60,1,ENSG00000005513,ENSG00000196083
61,1,ENSG00000005513,ENSG00000176204
62,1,ENSG00000005513,ENSG00000026508
63,1,ENSG00000005513,ENSG00000113657
64,1,ENSG00000005513,ENSG00000204442
65,1,ENSG00000005513,ENSG00000165434
66,1,ENSG00000005513,ENSG00000018408
67,1,ENSG00000005513,ENSG00000131378
68,1,ENSG00000005513,ENSG00000169902
69,1,ENSG00000005513,ENSG00000105835
70,1,ENSG00000005513,ENSG00000196639
71,1,ENSG00000005513,ENSG00000149256
72,1,ENSG00000005513,ENSG00000172020
73,1,ENSG00000005513,ENSG00000163947
74,1,ENSG00000005513,ENSG00000153956
75,1,ENSG00000005513,ENSG00000169504
76,1,ENSG00000005513,ENSG00000148848
77,1,ENSG00000005513,ENSG00000188859
78,1,ENSG00000005513,ENSG00000072110
79,1,ENSG00000005513,ENSG00000169946
80,1,ENSG00000005513,ENSG00000137968
81,1,ENSG00000005513,ENSG00000189337
82,1,ENSG00000005513,ENSG00000157110
83,1,ENSG00000005513,ENSG00000163659
84,1,ENSG00000005513,ENSG00000151789
85,1,ENSG00000005513,ENSG00000115414
86,1,ENSG00000005513,ENSG00000107249
87,1,ENSG00000005513,ENSG00000128573
88,1,ENSG00000005513,ENSG00000183098
89,1,ENSG00000005513,ENSG00000144810
90,1,ENSG00000005513,ENSG00000091129
91,1,ENSG00000005513,ENSG00000185532
92,1,ENSG00000005513,ENSG00000035403
93,1,ENSG00000005513,ENSG00000173068
94,1,ENSG00000005513,ENSG00000182463
95,1,ENSG00000005513,ENSG00000164418
96,10,ENSG00000005889,ENSG00000185278
97,10,ENSG00000005889,ENSG00000147679
98,10,ENSG00000005889,ENSG00000170558
99,10,ENSG00000005889,ENSG00000134480
100,10,ENSG00000005889,ENSG00000023516
101,10,ENSG00000005889,ENSG00000136141
102,10,ENSG00000005889,ENSG00000067955
103,100,ENSG00000069667,ENSG00000077235
104,100,ENSG00000069667,ENSG00000163166
105,100,ENSG00000069667,ENSG00000123384
106,100,ENSG00000069667,ENSG00000138002
107,101,ENSG00000071794,ENSG00000075624
108,101,ENSG00000071794,ENSG00000117519
109,101,ENSG00000071794,ENSG00000177606
110,101,ENSG00000071794,ENSG00000105372
111,101,ENSG00000071794,ENSG00000111640
112,101,ENSG00000071794,ENSG00000026025
113,101,ENSG00000071794,ENSG00000125148
114,101,ENSG00000071794,ENSG00000114480
115,101,ENSG00000071794,ENSG00000125398
116,101,ENSG00000071794,ENSG00000198961
117,101,ENSG00000071794,ENSG00000185950
118,101,ENSG00000071794,ENSG00000101439
119,101,ENSG00000071794,ENSG00000020577
120,102,ENSG00000071794,ENSG00000221978
121,102,ENSG00000071794,ENSG00000038382
122,102,ENSG00000071794,ENSG00000108846
123,102,ENSG00000071794,ENSG00000176533
124,102,ENSG00000071794,ENSG00000102189
125,102,ENSG00000071794,ENSG00000084636
126,103,ENSG00000071794,ENSG00000131724
127,103,ENSG00000071794,ENSG00000140678
128,103,ENSG00000071794,ENSG00000254087
129,103,ENSG00000071794,ENSG00000163694
130,103,ENSG00000071794,ENSG00000137393
131,104,ENSG00000071794,ENSG00000196937
132,104,ENSG00000071794,ENSG00000169946
133,104,ENSG00000071794,ENSG00000111962
134,104,ENSG00000071794,ENSG00000128050
135,104,ENSG00000071794,ENSG00000176204
136,105,ENSG00000072310,ENSG00000154217
137,105,ENSG00000072310,ENSG00000102144
138,105,ENSG00000072310,ENSG00000150991
139,105,ENSG00000072310,ENSG00000135063
140,105,ENSG00000072310,ENSG00000187193
141,105,ENSG00000072310,ENSG00000113916
142,105,ENSG00000072310,ENSG00000020577
143,106,ENSG00000074047,ENSG00000132475
144,106,ENSG00000074047,ENSG00000150991
145,106,ENSG00000074047,ENSG00000152952
146,106,ENSG00000074047,ENSG00000111640
147,106,ENSG00000074047,ENSG00000170485
148,106,ENSG00000074047,ENSG00000067225
149,106,ENSG00000074047,ENSG00000145623
150,106,ENSG00000074047,ENSG00000087250
151,106,ENSG00000074047,ENSG00000170345
152,106,ENSG00000074047,ENSG00000155368
153,106,ENSG00000074047,ENSG00000185950
154,106,ENSG00000074047,ENSG00000101439
155,107,ENSG00000074047,ENSG00000011258
156,107,ENSG00000074047,ENSG00000145495
157,107,ENSG00000074047,ENSG00000106261
158,107,ENSG00000074047,ENSG00000008083
159,107,ENSG00000074047,ENSG00000109762
160,108,ENSG00000074047,ENSG00000198795
